Iteration,Data-EnvTrajs-MaxReturn,Policy-TimeStep,n_timesteps,Data-EnvTrajs-StdReturn,Policy-AverageDiscountedReturn,Data-EnvSampler-EnvExecTime,LossBefore,Data-EnvSampler-PolicyExecTime,Data-EnvTrajs-NumTrajs,Policy-AverageReturn,Time,Policy-TimeSampleProc,Policy-NumTrajs,Data-TimeEnvSampleProc,Model-TimeModelFit,Policy-MinReturn,Policy-TimeSampling,Data-EnvTrajs-AverageDiscountedReturn,Policy-MaxReturn,ItrTime,Data-TimeEnvSampling,Policy-TimeAlgoOpt,Policy-StdReturn,LossAfter,Policy-AverageAbsPolicyMean,Data-EnvTrajs-MinReturn,ModelSampler-n_timesteps,Data-EnvTrajs-AverageReturn,Policy-AveragePolicyStd
0,-35.8901789966079,5.232856273651123,1000,38.7928858827468,503.4212948461556,0.12214112281799316,-1.416922e-05,0.03755950927734375,5,3849.0013794489205,8.131911277770996,0.4490981101989746,20,0.0007622241973876953,2.725857734680176,3695.474400341511,3.813613176345825,-33.9897427252469,4001.587713420391,8.131909608840942,0.1702265739440918,0.9011368751525879,75.45749678813559,-0.012018676,0.6162491,-133.90240965466455,40000,-91.1101816644569,0.9970739
1,30.251898726105733,2.785083532333374,2000,34.12889315925976,-94.489677326406,0.24851703643798828,-1.3909596e-05,0.8090732097625732,5,-323.5831556579098,16.160805702209473,0.5104169845581055,20,0.0008008480072021484,3.98367977142334,-1667.644986256957,1.6345539093017578,-13.958093519270808,-39.29397042095661,7.852816343307495,1.0808324813842773,0.612299919128418,494.2916524272428,-0.017795894,0.6612897,-74.3857489615704,80000,-29.10290735005386,0.9725023
2,9.76576359857268,2.8728690147399902,3000,40.29353371233694,260.5300918551152,0.3111279010772705,-1.3940114e-05,0.5680549144744873,5,1064.919024299085,26.38992476463318,0.65077805519104,20,0.0005354881286621094,6.428888559341431,727.3174152374268,1.6511540412902832,-21.409655506155154,1280.4099604785442,10.212284564971924,0.9059534072875977,0.5356285572052002,154.38297967725958,-0.017237367,0.65689313,-106.50901516922363,120000,-44.52869082075308,0.97498745
3,-19.4044979691243,2.79718279838562,4000,44.99340217173727,-59.148911144388684,0.32088136672973633,-1.38826135e-05,0.6689801216125488,5,-191.16166131906212,39.091434478759766,0.38184046745300293,20,0.0005600452423095703,8.879622459411621,-823.2605699598789,1.7475574016571045,-37.710387236504495,-63.64764751493931,12.69710898399353,1.0174081325531006,0.6200509071350098,201.62721569327442,-0.015599417,0.77125764,-154.78794131784278,160000,-80.68000164351079,0.96859556
4,-16.480783300470335,2.5430867671966553,5000,30.399177408878863,-68.75985981557696,0.394287109375,-1.3809927e-05,0.7279708385467529,5,-160.10837372988462,53.38192582130432,0.36051130294799805,20,0.0006656646728515625,10.56610655784607,-412.4578600823879,1.5451874732971191,-25.9357368811021,-84.79631283134222,14.26440167427063,1.1515681743621826,0.6020467281341553,67.38377363278558,-0.014756466,0.7022561,-99.15855815241993,200000,-47.49965399411615,0.9612567
5,-16.781216150578373,2.5171775817871094,6000,35.51214016078961,-118.39975870994799,0.3180975914001465,-1.3522659e-05,0.8434312343597412,5,-290.21982183009385,69.64920663833618,0.40451669692993164,20,0.0006511211395263672,12.550455331802368,-557.8907125294209,1.486187219619751,-19.96770287016046,-180.89629559218884,16.262142181396484,1.192366600036621,0.5516791343688965,77.62837581605672,-0.015496213,0.6531143,-106.64532657283935,240000,-50.797953870549875,0.9357725
6,-12.247329472001228,2.468656301498413,7000,14.50798172634081,-40.67435706558375,0.3650703430175781,-1.3156886e-05,0.9199597835540771,5,-99.2355000872165,88.51499152183533,0.40382885932922363,20,0.000989675521850586,15.06586217880249,-137.6315147727728,1.4281325340270996,-19.641064126141647,-57.05851800739765,18.859689950942993,1.3222110271453857,0.5823879241943359,18.84422440190202,-0.0149460705,0.5733124,-51.846400666702124,280000,-40.56464396992691,0.9015128
7,-9.783335223975529,2.4681873321533203,8000,18.948363263527856,-6.255084211604358,0.32270216941833496,-1.2777392e-05,0.7359397411346436,5,-16.152313421107827,109.71791219711304,0.3418900966644287,20,0.0007367134094238281,17.629603147506714,-39.8008921071887,1.4896230697631836,-21.289986049864694,13.522369280457497,21.194785833358765,1.0938291549682617,0.6060190200805664,15.315062376249749,-0.015650695,0.51862913,-66.95015925834679,320000,-36.13990149371712,0.86866385
8,-21.076170797637133,2.6575241088867188,9000,10.561289574107743,-6.209828435476955,0.42195749282836914,-1.2514783e-05,0.9476137161254883,5,-1.5203390633687377,134.21312880516052,0.33939027786254883,20,0.0005247592926025391,20.416632652282715,-45.50590634346008,1.6827373504638672,-13.891575670375698,45.77031031250954,24.480851411819458,1.4038281440734863,0.6074550151824951,23.509766737387828,-0.015246914,0.5396483,-49.459414604948144,360000,-33.19322282393873,0.8464064
9,-2.578268725442995,2.8429758548736572,10000,39.67810106260097,-70.62000836126974,0.3792262077331543,-1.2350498e-05,0.9390890598297119,5,-151.9347021687776,160.60892701148987,0.4286677837371826,20,0.0010027885437011719,22.19114637374878,-363.4128037393093,1.7831470966339111,-15.603159359366822,-78.35158698260784,26.3901526927948,1.3526551723480225,0.5881187915802002,79.90526484033033,-0.013670271,0.5308004,-98.68465626531265,400000,-48.45463662667206,0.83241445
