ModelSampler-n_timesteps,Data-TimeEnvSampleProc,Policy-AverageReturn,Policy-TimeStep,Data-EnvTrajs-MaxReturn,Iteration,LossBefore,Policy-TimeAlgoOpt,Policy-AverageAbsPolicyMean,Data-TimeEnvSampling,Policy-NumTrajs,n_timesteps,LossAfter,Policy-StdReturn,Data-EnvSampler-PolicyExecTime,Policy-AveragePolicyStd,Policy-AverageDiscountedReturn,Data-EnvTrajs-AverageDiscountedReturn,Data-EnvTrajs-NumTrajs,Data-EnvTrajs-MinReturn,Time,Policy-TimeSampleProc,Policy-MaxReturn,Model-TimeModelFit,Policy-TimeSampling,ItrTime,Data-EnvTrajs-AverageReturn,Data-EnvTrajs-StdReturn,Policy-MinReturn,Data-EnvSampler-EnvExecTime
40000,0.0004923343658447266,-387.8271375656128,5.4645209312438965,-29.700965460973848,0,-1.4027323e-05,0.9490334987640381,0.71769905,0.20814919471740723,20,1000,-0.018476602,1035.6314708072427,0.04746842384338379,0.98480207,-139.30677877622583,-23.596869963060225,5,-111.40418348277494,8.805219650268555,0.5819709300994873,99.43862786889076,3.1303305625915527,3.8406436443328857,8.805219173431396,-75.85261674560584,33.418368425860656,-4721.063010573387,0.14831829071044922
80000,0.0010972023010253906,-134.16448378330097,2.654707193374634,-63.626026899878205,1,-1.3571032e-05,0.5939874649047852,0.54665244,0.8016719818115234,20,2000,-0.016000716,16.052364131159333,0.5535969734191895,0.94218415,-59.34389783682782,-40.44790491468026,5,-128.3920029596831,16.397341012954712,0.4026198387145996,-100.58741880953312,4.021521806716919,1.635300874710083,7.480689525604248,-94.37231956169758,26.61992671802222,-162.35099124908447,0.22578787803649902
120000,0.000980377197265625,4180.164637447893,2.707817792892456,-13.703854728557538,2,-1.3427601e-05,0.59432053565979,0.8426953,0.9805312156677246,20,3000,-0.014191318,687.494673256089,0.67708420753479,0.9281413,1198.9919708250723,-16.644775759634275,5,-89.31159830408465,25.85863161087036,0.4708428382873535,5162.085266560316,5.763854265213013,1.6035900115966797,9.455721616744995,-48.887232288006345,28.678320969491914,1913.0123432278633,0.2747526168823242
160000,0.0008168220520019531,128.5944621808827,3.709223985671997,-22.948256455813326,3,-1.3365388e-05,0.6970796585083008,0.65657914,1.041947603225708,20,4000,-0.014094324,126.13876270859576,0.7093381881713867,0.9206027,60.58136128298874,-22.64508558851588,5,-107.32110100320473,40.323318004608154,0.6410050392150879,194.87575498223305,9.702491760253906,2.3350589275360107,14.456782579421997,-72.2117591006653,32.70050303684481,-415.24340185523033,0.29809021949768066
200000,0.0022513866424560547,-572.0891747524962,2.639394998550415,-0.5444722515616462,4,-1.3237943e-05,0.5467000007629395,0.6755174,0.8020875453948975,20,5000,-0.021673886,661.9411393380879,0.5249173641204834,0.90995526,-202.23520922380874,-11.005388248006918,5,-63.03047905738416,54.40308165550232,0.5566132068634033,-288.29478089883924,10.629673480987549,1.4938478469848633,14.074974536895752,-41.693653140406546,21.98945016959397,-3232.1020095944405,0.25081610679626465
240000,0.0009975433349609375,2588.687009439617,2.8856616020202637,-19.536039907931983,5,-1.3223391e-05,0.5682010650634766,0.91672695,1.0959842205047607,20,6000,-0.016554687,1200.2469845392845,0.7362773418426514,0.90707314,602.5019243377321,-14.929680744523878,5,-77.38765861276669,71.79933500289917,0.701300859451294,3901.946821331978,13.403884410858154,1.588761568069458,17.390299320220947,-46.80731949931475,18.781930732611563,-251.5070230215788,0.32363080978393555
280000,0.0009372234344482422,-282.15615521259605,3.3393590450286865,17.50703514136571,6,-1.3158019e-05,0.8525736331939697,0.83779246,1.1410458087921143,20,7000,-0.02044166,215.63952905354628,0.7740304470062256,0.9012267,-105.31768577819471,-15.798127617144804,5,-77.35037000953007,92.03788805007935,0.4776167869567871,-166.97181808948517,15.744107723236084,1.9789083003997803,20.227872371673584,-46.66872677739036,34.79221317346751,-973.0912594795227,0.3351902961730957
320000,0.0007472038269042969,81.70263153538107,2.196584939956665,-1.8619034618383272,7,-1.2863555e-05,0.4683413505554199,0.65681744,1.1791727542877197,20,8000,-0.015161428,31.176851266453593,0.8017072677612305,0.87560856,30.399700887661016,-28.166166483919785,5,-85.97543497729521,112.01758217811584,0.39861559867858887,160.5406954884529,16.5985267162323,1.2879891395568848,19.976316928863525,-59.26013965660061,30.566234889754213,37.77021923661232,0.3419210910797119
360000,0.0005753040313720703,21.017653290554883,2.721656084060669,-17.85047361974773,8,-1.24406315e-05,0.6102211475372314,0.57328033,1.1695334911346436,20,9000,-0.02029365,27.566814728864866,0.8012166023254395,0.84239244,10.292907184677276,-24.694980205237826,5,-87.3427671940801,137.39402508735657,0.43402791023254395,95.5804937928915,21.47470736503601,1.6447839736938477,25.368266105651855,-57.24190256378913,25.48033566568422,-27.280905082821846,0.3313896656036377
400000,0.0013942718505859375,-215.6464558236301,2.520120143890381,-13.464984805876284,9,-1.2358623e-05,0.5905802249908447,0.62778705,1.3119206428527832,20,10000,-0.019500254,47.53500761520946,0.9238400459289551,0.83204,-90.92518211781416,-31.49564618359853,5,-123.95902175333137,164.89252185821533,0.4531245231628418,-143.77554826438427,23.657055139541626,1.4559783935546875,27.492594480514526,-74.94285252015283,41.24438205347859,-337.5459071919322,0.3528749942779541
440000,0.0009570121765136719,-77.80864375941455,2.4968857765197754,-31.086845915968322,10,-1.228329e-05,0.5605545043945312,0.630624,1.3659496307373047,20,11000,-0.017501412,33.12838734871471,0.9380130767822266,0.82677376,-39.83033186974883,-14.74185290779575,5,-53.08939065009179,194.50628471374512,0.4341599941253662,8.915743693709373,25.74019479751587,1.4760680198669434,29.60603952407837,-37.48483433556457,8.10725416684549,-138.86925499141216,0.3828098773956299
480000,0.0007655620574951172,-342.1898657102138,2.5202677249908447,-37.3135443347907,11,-1.2215553e-05,0.554523229598999,0.6034161,1.1772119998931885,20,12000,-0.017602181,139.67841908342277,0.8015048503875732,0.8193459,-112.071207251044,-19.861734050264992,5,-71.91459114884209,226.54423880577087,0.35305285453796387,-204.52833535522223,28.325912475585938,1.5778107643127441,32.026771545410156,-54.18327303955552,12.657533382518318,-799.7233771979809,0.34127235412597656
520000,0.0009505748748779297,-22.25580965131521,2.368411064147949,64.51037885682142,12,-1.1901666e-05,0.550074577331543,0.57704306,1.105499267578125,20,13000,-0.015978128,28.174560564651163,0.7527327537536621,0.79538214,-10.933638092091513,-15.122124716008255,5,-89.95833328725486,259.0725769996643,0.39350032806396484,32.73102640360594,29.04718828201294,1.3998363018035889,32.52430081367493,-25.422666160333407,52.825497394697834,-75.71208012104034,0.32231616973876953
560000,0.0035257339477539062,-147.14685235805808,3.563368558883667,15.043872652679443,13,-1.1577442e-05,0.766472578048706,0.5873587,1.7803752422332764,20,14000,-0.018261056,29.352304318899733,1.2043251991271973,0.7718051,-63.97881574675652,-13.40201507759808,5,-98.59137099474827,298.1303913593292,0.6675283908843994,-53.601497277617455,33.69494318962097,2.0680201053619385,39.05018615722656,-29.21661727807764,41.19023284197943,-191.08626586198807,0.5312459468841553
600000,0.0014374256134033203,-77.85407065860927,4.390579700469971,9.76515287845183,14,-1.1316716e-05,0.8965544700622559,0.5592352,3.099848985671997,20,15000,-0.016345296,23.77073444485029,2.0880308151245117,0.75310403,-33.71706600078022,-6.91481522555649,5,-52.77033326513279,339.5720467567444,0.806250810623169,-28.331037625670433,33.92845439910889,2.6527018547058105,41.42302632331848,-22.545929122800324,25.24574696646052,-131.6745783984661,0.924100399017334
