n_timesteps,LossAfter,Data-EnvTrajs-NumTrajs,Data-EnvTrajs-MaxReturn,Iteration,Policy-TimeSampling,Model-TimeModelFit,Data-EnvTrajs-StdReturn,LossBefore,Data-EnvTrajs-MinReturn,Policy-NumTrajs,Data-TimeEnvSampling,ModelSampler-n_timesteps,Data-EnvSampler-PolicyExecTime,Policy-MaxReturn,Policy-AverageReturn,Policy-StdReturn,Time,Data-EnvSampler-EnvExecTime,Data-EnvTrajs-AverageDiscountedReturn,Policy-AveragePolicyStd,ItrTime,Policy-AverageDiscountedReturn,Data-TimeEnvSampleProc,Policy-MinReturn,Policy-TimeAlgoOpt,Policy-AverageAbsPolicyMean,Policy-TimeStep,Data-EnvTrajs-AverageReturn,Policy-TimeSampleProc
1000,-0.005750063,5,-192.27955660227332,0,6.695420503616333,4.551495552062988,51.473444246952184,-1.3822002e-05,-332.11417249579097,20,0.36227965354919434,40000,0.06190657615661621,-5203635.908941627,-5312856.994584678,53085.42868734504,13.491795539855957,0.2842264175415039,-75.22703742439715,0.96340126,13.491794109344482,-2034604.8159680467,0.000720977783203125,-5415132.533564925,1.3818936347961426,0.62661815,8.574578523635864,-278.61225115996683,0.4706075191497803
2000,-0.0045537786,5,244.8952569605557,1,1.6110682487487793,5.277201414108276,223.3902201966225,-1.3577295e-05,-365.9084553991776,20,1.0965516567230225,80000,0.6799056529998779,-4553915.20173496,-4991018.604410407,154714.10115896858,22.75707721710205,0.3896157741546631,10.354279349104274,0.9407015,8.996504306793213,-1783845.6290782546,0.0009756088256835938,-5166272.420720547,0.5557000637054443,0.53959036,2.61883282661438,-30.47323477207949,0.40035462379455566
3000,-0.0030450302,5,-468.13794492334256,2,1.5924060344696045,5.9317755699157715,20.00532835557312,-1.3340033e-05,-523.6998553724744,20,0.688300609588623,120000,0.3872542381286621,-4500298.083814144,-4748537.9598193485,77855.02887766744,31.934332370758057,0.28134942054748535,-152.0570977453487,0.9182113,9.171991109848022,-1608353.0417842534,0.0005176067352294922,-4834407.847000182,0.6225011348724365,0.84083366,2.5494959354400635,-503.8718494178976,0.3164339065551758
4000,-0.0043507293,5,-494.0037800881474,3,1.6107494831085205,7.879822731018066,9.0159350902699,-1.3220442e-05,-520.2660504725886,20,0.7261674404144287,160000,0.3991670608520508,-2286545.036123812,-3322859.2920322195,290264.9886980035,43.202534437179565,0.30660247802734375,-150.81041198739965,0.90761083,11.2612943649292,-840095.3064545791,0.0005469322204589844,-3696295.781621456,0.538989782333374,0.8668812,2.6511242389678955,-511.12925219072366,0.45858049392700195
5000,-0.0045272917,5,-475.5860237318357,4,2.358475923538208,15.108659744262695,9.037630914709526,-1.3105636e-05,-503.11322258949644,20,0.7743995189666748,200000,0.41992712020874023,-483.5178246498108,-2176751.2532803356,1980142.208928004,62.99804162979126,0.33261799812316895,-140.8620193733058,0.89718324,19.78844976425171,-626970.148255958,0.0005662441253662109,-4372581.453978896,0.7624218463897705,0.96928775,3.902479887008667,-492.292767411318,0.7501437664031982
6000,-0.007357618,5,-513.9182470920163,5,1.3761301040649414,13.57979702949524,9.769497350593687,-1.2904839e-05,-536.109965174565,20,1.0576379299163818,240000,0.5672128200531006,-414.5766816139221,-810779.530544287,1557843.5533935577,80.32974672317505,0.460935115814209,-159.76340288552564,0.8798665,17.325554609298706,-229255.86364554768,0.0015168190002441406,-4291945.259544611,0.5643541812896729,1.083187,2.6853320598602295,-524.7914306155752,0.7267415523529053
7000,-0.0030953202,5,-455.2476159649444,6,1.5872933864593506,13.774088382720947,27.672716579447275,-1.253316e-05,-535.8893744510192,20,0.6684894561767578,280000,0.37969112396240234,-4360644.875538588,-4480060.115111339,79196.56216655632,97.59098553657532,0.2708606719970703,-157.48256704389973,0.84812444,17.25719380378723,-1432642.4950528503,0.0004801750183105469,-4638335.489333332,0.6267058849334717,0.9607214,2.8106837272644043,-508.5085405783831,0.5605158805847168
8000,-0.0032002241,5,-459.33200616452217,7,2.160006284713745,25.195905447006226,16.241280492622856,-1.2470146e-05,-503.5756580756737,20,0.7517225742340088,320000,0.4072113037109375,-546.8800525665283,-762631.6604130358,794017.9628458369,127.36418342590332,0.32292675971984863,-153.34029683696735,0.84322315,29.76983904838562,-138043.19483377275,0.0009503364562988281,-2398049.834912777,0.7308049201965332,1.040415,3.8191030025482178,-490.3968545992082,0.8771235942840576
9000,-0.005147472,5,-444.1940758162727,8,1.7636468410491943,18.87608027458191,9.222407648063596,-1.2488235e-05,-471.41653672621885,20,1.1507105827331543,360000,0.6406328678131104,36.932145327329636,-263049.39606500417,635539.9810425743,150.17696022987366,0.47896409034729004,-146.24134457301892,0.8449032,22.80711841583252,-49139.46230900556,0.0013320446014404297,-2140850.416267231,0.5413205623626709,0.9789502,2.7771689891815186,-461.3098571852415,0.39441466331481934
10000,-0.0056930115,5,-430.2761637147517,9,2.2985646724700928,25.47300362586975,12.158933615376311,-1.2518415e-05,-464.32894828303023,20,0.7008919715881348,400000,0.3923039436340332,-625.3141013979912,-533473.5735297836,611942.5771128058,180.22868585586548,0.2881002426147461,-140.60925957719977,0.84546405,30.043264627456665,-90207.8257967319,0.001012563705444336,-1887237.423970461,0.8818192481994629,0.9565851,3.8655173778533936,-441.1276890935471,0.6483290195465088
