Itr,train-EnvExecTime,Time-Optimization,train-StdReturn,train-NumTrajs,ItrTime,n_timesteps,Time,train-MaxReturn,train-AverageDiscountedReturn,train-PolicyExecTime,train-MinReturn,Time-Sampling,LossBefore,Time-SampleProc,LossAfter,train-AverageReturn
0,1.738375186920166,1.4604063034057617,30.971291349471112,100,6.273123264312744,10000,6.273127794265747,36.231616176565694,-26.228383776085657,2.90948224067688,-120.09674715466032,4.804494619369507,-0.015830884,0.007955312728881836,-0.67783743,-41.31406137734573
1,1.734990119934082,1.1290550231933594,43.18510008063561,100,5.796890020370483,20000,12.110079288482666,63.39752167976695,-21.699150505285953,2.756532669067383,-163.93786598789035,4.648447275161743,0.015343444,0.019076108932495117,-0.2837328,-34.806568783668666
2,1.81365966796875,0.8957569599151611,59.315992668967105,100,5.849537372589111,30000,17.97588300704956,70.72201539941871,-26.381620586918817,2.920511484146118,-224.58457307353467,4.928417444229126,-0.026193066,0.024326801300048828,-0.28171045,-44.052717118122835
3,1.8283705711364746,0.8473401069641113,45.42922929073011,100,5.9044671058654785,40000,23.893697261810303,111.14626361682474,-17.54850810893799,3.0184524059295654,-140.44099228468912,5.031717538833618,-0.017883668,0.02477240562438965,-0.22214743,-26.70781162222859
4,1.8071038722991943,0.7996444702148438,44.218864656733174,100,5.854885578155518,50000,29.76104712486267,74.03086267804339,-13.925457772832056,3.0192389488220215,-150.59794093509444,5.0073065757751465,0.0025049804,0.040003061294555664,-0.1512331,-23.342611414192707
5,1.865187406539917,0.6910359859466553,42.70806078144532,100,5.913746118545532,60000,35.68664360046387,69.15166443560605,-15.034153505338175,3.1577203273773193,-131.69890951657064,5.20369029045105,-0.0027963868,0.0182039737701416,-0.20542175,-24.05106208081539
6,1.8466644287109375,0.5458366870880127,51.008600932896755,100,5.798553943634033,70000,41.49836874008179,79.60548073712147,-20.436262539547016,3.202296257019043,-183.12071871828203,5.237935543060303,-0.015034717,0.014345645904541016,-0.14297114,-32.91368775928974
7,1.8733408451080322,0.43748021125793457,45.942343033532374,100,5.7756431102752686,80000,47.28832530975342,73.60476296367676,-25.627050009388867,3.274995803833008,-191.05090771883596,5.3272480964660645,0.029188257,0.010592460632324219,-0.07755576,-42.44961086250574
8,1.8799617290496826,0.44300293922424316,47.80816000622057,100,5.779696941375732,90000,53.079976081848145,42.00640292881877,-27.370101926695497,3.2627193927764893,-225.861221720574,5.32884407043457,-0.026980847,0.0076754093170166016,-0.13995636,-45.02370239276789
9,1.8673503398895264,0.4396674633026123,42.36992964728076,100,5.7149834632873535,100000,58.806583642959595,53.521501176007504,-27.47279761648977,3.2158279418945312,-178.4470601401289,5.265866041183472,-0.010286328,0.00926828384399414,-0.12043653,-43.776562687786026
10,1.8717665672302246,0.43947672843933105,42.51138112166164,100,5.735734462738037,110000,64.55369019508362,87.77482359534703,-29.22589609979094,3.2235398292541504,-166.6771520756699,5.282266139984131,-0.0017587891,0.013817787170410156,-0.1922292,-46.79408453882989
11,1.85341477394104,0.4511229991912842,46.70484345705174,100,5.743062973022461,120000,70.30830264091492,16.501596581322012,-42.67260649735138,3.2328097820281982,-237.60786638166527,5.281416893005371,0.0027999757,0.010258197784423828,-0.27382094,-67.76170627595147
12,1.8635878562927246,0.42928147315979004,45.47867697341933,100,5.759955167770386,130000,76.08059740066528,37.64353781731152,-33.01045586144274,3.266230344772339,-192.56176355009052,5.319879770278931,0.01631167,0.01056981086730957,-0.29126567,-52.870065999764684
13,1.8378963470458984,0.43886733055114746,48.968680456296966,100,5.722397327423096,140000,81.81494307518005,43.20365081023451,-38.784094357458926,3.249298572540283,-188.13826244662022,5.273255109786987,0.004283789,0.01004648208618164,-0.3308875,-60.372513548265644
14,2.1056370735168457,0.5183351039886475,58.73435278458364,100,6.5297532081604,150000,88.35729026794434,17.01418136084823,-58.94145409057317,3.682152032852173,-242.25169531705677,5.9976606369018555,-1.9238281e-05,0.013548851013183594,-0.080162644,-97.28088520443733
15,2.3605897426605225,0.7685856819152832,35.13127245827204,100,7.665449857711792,160000,96.04072523117065,1.5050749708152833,-34.18609999078533,4.272337913513184,-162.6252387743509,6.875711679458618,0.01176886,0.02091836929321289,-0.06956067,-54.60235000074906
16,3.0417323112487793,0.6084835529327393,40.662603293227725,100,9.858912467956543,170000,105.92221426963806,6.63671461446355,-39.57444565002248,5.868081569671631,-215.42023188645135,9.234269857406616,-0.014293457,0.015819549560546875,-0.08196035,-64.37940005054529
