n_timesteps,train-MaxReturn,train-StdReturn,train-MinReturn,LossAfter,Time-Sampling,ItrTime,Itr,Time,train-AverageReturn,Time-Optimization,train-AverageDiscountedReturn,train-PolicyExecTime,LossBefore,train-EnvExecTime,Time-SampleProc,train-NumTrajs
10000,114.78877292015397,81.1678341101227,-212.62530405023554,0.13292238,25.001154899597168,27.37904381752014,0,27.379050731658936,-43.678876101353154,2.245407819747925,-16.55465757852737,13.510977983474731,6.1035155e-09,10.830470561981201,0.13135838508605957,100
20000,110.7356722339121,99.18487688682956,-257.47091304500645,0.0026683838,25.00678849220276,26.775219440460205,1,54.341195821762085,-101.03887264960659,1.6525285243988037,-48.63155683552167,13.519131183624268,6.1035155e-09,10.819330930709839,0.11350822448730469,100
30000,166.4497178681316,111.88240294720457,-245.39562129048062,-0.0051443954,25.178497314453125,26.67312264442444,2,81.10569429397583,-55.91135250431966,1.3733494281768799,-25.60277064719668,13.643720626831055,-7.6293943e-10,10.852338314056396,0.11894679069519043,100
40000,159.33662852828098,106.01442416911566,-238.81873228951147,-0.004861902,25.29286289215088,26.725193977355957,3,107.91361284255981,-3.1690518784870676,1.3187897205352783,3.349447070820578,13.802939653396606,2.4414062e-08,10.814221858978271,0.1127159595489502,100
50000,145.7723414736204,77.62425520989171,-225.45359573937634,-0.0050292746,25.408366441726685,26.6675968170166,4,134.66350531578064,42.25184435618123,1.1389951705932617,28.860925662848445,13.901608228683472,-5.722046e-10,10.816672801971436,0.11828422546386719,100
60000,149.4560278584988,63.14669995616863,-195.31481041985302,-0.006870229,25.50813055038452,26.69266963005066,5,161.44122886657715,73.91889870132349,1.0713355541229248,50.32772535561509,13.97148585319519,2.4414062e-08,10.841362237930298,0.11166715621948242,100
70000,166.61081914936278,37.768836899413316,7.761949732167411,-0.0033286193,25.68473744392395,26.902039289474487,6,188.40121841430664,98.55806537566,1.0939080715179443,64.85997096698577,14.062727689743042,0.002158728,10.916547536849976,0.1227109432220459,100
80000,196.4869618852837,47.88249269685778,-20.87355749617063,-0.0067120865,25.89714026451111,27.17140507698059,7,215.63947105407715,102.65374408724568,1.166968822479248,66.4087216184285,14.221052408218384,-6.1035155e-09,10.981495380401611,0.1064305305480957,100
90000,206.97401401613345,56.92958654347641,-66.88504497853695,-0.007504345,25.811077117919922,27.00423574447632,8,242.705468416214,131.06583481947598,1.0720171928405762,81.93301817278889,14.126693964004517,8.392334e-09,10.987216234207153,0.1197364330291748,100
100000,207.41703689997183,36.76764886484848,57.733853684944144,-0.005776117,25.82888674736023,27.071184158325195,9,269.8413655757904,173.37927945287913,1.130781650543213,104.93191360952531,14.066129446029663,1.525879e-08,11.069565534591675,0.11082005500793457,100
110000,207.56715341991654,28.61813042725672,86.88891398178048,-0.0060332366,25.8249773979187,27.019797563552856,10,296.92523550987244,184.44219108687528,1.0732667446136475,110.31913329080027,13.951454639434814,6.1035155e-09,11.182677030563354,0.12088203430175781,100
120000,211.22943473912318,12.167292883676351,135.57841260296976,-0.003219194,25.967797994613647,27.1633939743042,11,324.1461396217346,194.05268211430928,1.076017141342163,115.95055704346377,14.042049884796143,4.577637e-09,11.238161325454712,0.11877822875976562,100
130000,209.1732150026603,10.747107927975486,123.60761745566593,-0.0028390503,25.92180109024048,27.096981287002563,12,351.3080348968506,196.28884603383202,1.0662338733673096,116.82501682549665,13.923486232757568,6.1035155e-09,11.305108308792114,0.10827207565307617,100
140000,208.64720477740883,12.373432002230983,87.10303661758029,-0.005124802,26.051320552825928,27.246915340423584,13,378.61497163772583,195.89465270853668,1.0792934894561768,116.94496667833099,14.01098918914795,1.449585e-08,11.346484422683716,0.11560606956481934,100
150000,209.460482746952,5.142852347527423,181.93870261602174,-0.004037793,26.02582836151123,27.189717531204224,14,405.86035323143005,199.09639496648037,1.0465099811553955,118.3250667833823,13.991459608078003,1.5258789e-09,11.342020750045776,0.11667156219482422,100
160000,211.64516027433504,5.187254071744709,186.82324785497525,-0.005891162,26.077667951583862,27.27445411682129,15,433.19198870658875,201.43318877712744,1.0837202072143555,119.22282997490397,13.988675832748413,-3.0517577e-09,11.398556470870972,0.11241316795349121,100
170000,211.50312729076697,6.191198509574341,160.55440943826932,-0.003802343,26.159234046936035,27.364633560180664,16,460.61472392082214,203.7458801520549,1.0663907527923584,120.00324897923083,14.062904119491577,-6.1035155e-09,11.41119909286499,0.1383528709411621,100
180000,214.52887163597302,3.6551249269793873,194.48937333645327,-0.004441908,26.183541536331177,27.39608407020569,17,488.0743291378021,204.28716462104381,1.103405237197876,120.26936592895572,14.077848434448242,-3.0517577e-09,11.41449499130249,0.10843420028686523,100
190000,215.8630497834947,3.6026336768156515,197.43447963681103,-0.005861017,26.05051565170288,27.20866632461548,18,515.3452463150024,207.01315845728547,1.0495271682739258,121.35375385425829,13.988022565841675,9.155274e-09,11.366850852966309,0.10789179801940918,100
200000,214.60252070762448,3.3512662263790336,199.0113490480168,-0.0052159484,26.143362045288086,27.3750638961792,19,542.7788162231445,207.59666908199816,1.1108150482177734,121.53689072950756,14.05531120300293,-9.155274e-09,11.400819063186646,0.12021422386169434,100
210000,218.88217278438228,3.9558994806783034,200.0103018089499,-0.004550686,26.020531177520752,27.218559980392456,20,570.0572052001953,208.70665591629498,1.0869247913360596,122.08192987883167,13.87559700012207,-8.010864e-09,11.445073127746582,0.11042261123657227,100
220000,216.17186227780064,3.4966793299506276,200.37876567240662,-0.0054183104,26.153518676757812,27.303991556167603,21,597.4202370643616,208.9519552552822,1.04276704788208,122.08741113243808,14.016162633895874,-4.8828124e-08,11.447181224822998,0.10710310935974121,100
230000,219.08043508238268,3.936510169292291,198.43784569658231,-0.0029025085,26.01298213005066,27.18974471092224,22,624.6705117225647,210.99683920163363,1.0568993091583252,122.97405802621235,14.009055376052856,6.1035155e-09,11.314326286315918,0.1192777156829834,100
240000,219.00802078322224,3.4945271074115434,202.04707079913936,-0.0041849795,26.053978443145752,27.251960039138794,23,651.9856631755829,210.65636930365872,1.0850300788879395,122.85410068779473,13.96797490119934,-4.577637e-09,11.391353130340576,0.11223793029785156,100
250000,218.88820260467284,3.3519855691791864,201.6883355967653,-0.0028026896,26.035200834274292,27.23666548728943,24,679.2846751213074,211.1877487559276,1.0832397937774658,123.08649961908796,13.97979998588562,-3.8146974e-09,11.365946054458618,0.11748409271240234,100
260000,221.65274221393074,3.476188617123773,201.33579819564162,-0.0037885185,25.989973545074463,27.21197533607483,25,706.5598320960999,212.49570774769848,1.08355712890625,123.71955894238081,13.984004259109497,3.0517577e-09,11.314605236053467,0.137800931930542,100
270000,222.97107066269314,3.977924511620785,201.6229094922188,-0.005171716,26.026397705078125,27.234535932540894,26,733.8509221076965,212.54532782308783,1.0799312591552734,123.746053411418,13.963032245635986,-3.0517577e-09,11.36324667930603,0.12752628326416016,100
280000,220.41512170975957,3.4007332876689422,202.87942292117063,-0.0032190247,26.00694751739502,27.168733835220337,27,761.0786619186401,214.24549103753026,1.049591302871704,124.44962431114358,13.986489534378052,1.2207031e-08,11.325701236724854,0.11163163185119629,100
290000,222.95782565944978,3.1727990375093817,208.35884540383628,-0.0041448213,26.171988487243652,27.341635704040527,28,788.4768211841583,215.34050691383666,1.05281400680542,124.8862865785805,14.103696584701538,-9.155274e-09,11.37095022201538,0.1160116195678711,100
300000,221.71462526172584,3.005151701804124,209.95157952255298,-0.0015486206,25.968125343322754,27.136704206466675,29,815.6794390678406,216.06837059735363,1.050565481185913,125.17972127506691,13.98433232307434,-1.2207031e-08,11.28968095779419,0.11690425872802734,100
310000,226.53474019862895,3.7533033070829975,208.34644261815717,-0.002736493,25.976118087768555,27.18450427055359,30,842.9237475395203,217.20312894812673,1.0573084354400635,125.74239383007945,13.995816230773926,0.01762345,11.288667678833008,0.15036535263061523,100
320000,226.86438890851926,3.5111900506763094,211.13547026119798,-0.0030049377,26.118624687194824,27.287293434143066,31,870.2691133022308,218.16544929218432,1.0425646305084229,126.16962338375238,14.1083505153656,3.0517577e-09,11.318946123123169,0.1255190372467041,100
330000,225.01835061858418,3.9686714664189626,205.33827678330437,-0.00024234009,25.999505281448364,27.197457313537598,32,897.526458978653,218.31019667778233,1.0804369449615479,126.31592773642743,14.008211135864258,9.155274e-09,11.30132508277893,0.1167147159576416,100
340000,225.99214386526236,3.868640541884992,202.67218449287134,-0.0017007939,26.080538749694824,27.298868656158447,33,924.887689113617,217.82071455001113,1.0878276824951172,126.09298745481567,14.081871032714844,1.373291e-08,11.301337957382202,0.12943172454833984,100
350000,226.02585980825648,3.3971490333057432,209.65863866255788,-0.003560968,25.986939668655396,27.216971397399902,34,952.1712956428528,218.3163837234042,1.113337516784668,126.3073591627606,13.994361639022827,-1.2207031e-08,11.297762870788574,0.11600136756896973,100
360000,227.8451759204069,4.121236456825677,209.16568356235675,-0.0027631896,26.021716356277466,27.231266260147095,35,979.4637241363525,218.42400939001772,1.094348430633545,126.4174440342451,14.021955251693726,-1.8310548e-08,11.294844627380371,0.11452102661132812,100
370000,230.4977351967054,3.890723176229042,207.7122711147823,-0.002832727,25.996876001358032,27.159467697143555,36,1006.6832747459412,219.00191775487042,1.0425198078155518,126.66385730506599,13.986991167068481,3.051758e-08,11.312169075012207,0.11939358711242676,100
380000,230.0658034702875,4.053433558264898,209.47173812352008,-0.003207312,25.992476224899292,27.20023775100708,37,1033.9454996585846,219.73106450287366,1.0851330757141113,127.00360315737296,14.006914854049683,-3.0517577e-09,11.28653883934021,0.12160325050354004,100
390000,227.96093172421232,4.026676102372266,208.2454827605898,-0.0025914917,25.97776436805725,27.15528893470764,38,1061.1682889461517,218.87373532739926,1.062002182006836,126.62332288922366,14.042840242385864,0.002888391,11.224588871002197,0.1147005558013916,100
400000,235.29562798470994,3.8586342482954423,211.18609953402583,-0.0045833555,25.87816095352173,27.053060293197632,39,1088.281217098236,219.70144004053617,1.0611865520477295,126.99604895743146,13.973928928375244,6.1035155e-09,11.2129807472229,0.11294817924499512,100
410000,230.995201010312,3.3933801511811943,213.5278609930005,-0.0023283875,25.9210262298584,27.10360360145569,40,1115.450799703598,220.8791936477025,1.0756163597106934,127.53797834721524,13.974092721939087,0.008276342,11.256166219711304,0.10627627372741699,100
420000,232.1231550723716,4.560769194664952,206.66429593966103,-0.0013803605,25.814111709594727,27.039515018463135,41,1142.5514602661133,221.16227206252174,1.1145377159118652,127.72753119355758,14.00667929649353,9.155274e-09,11.111151456832886,0.11016702651977539,100
430000,233.7403080393574,4.995173658225168,208.5189367614791,-0.0015572998,25.960829734802246,27.13231325149536,42,1169.7516751289368,222.09127186247898,1.0606772899627686,128.1225343454935,14.159768104553223,-1.2207031e-08,11.1067214012146,0.11012554168701172,100
440000,239.02682437620476,5.098183104384414,210.53024928520458,-0.0009537659,25.87456750869751,27.046567916870117,43,1196.8664293289185,222.65880616774916,1.0606234073638916,128.4656292065051,14.004821300506592,-2.4414062e-08,11.170218467712402,0.11060929298400879,100
450000,234.96298302905447,4.352589059372726,211.32411181305793,-0.0024193847,25.735382795333862,26.916560888290405,44,1223.8427286148071,223.10208377254392,1.0581321716308594,128.71659830525144,13.98237133026123,-1.5258789e-09,11.064878225326538,0.12228846549987793,100
460000,231.63385456348416,4.275889330257409,209.1363265984901,-0.00059370726,25.837927103042603,27.026551008224487,45,1250.9348907470703,222.2899390499054,1.065246820449829,128.25632559845303,14.026319742202759,-1.2207031e-08,11.110724925994873,0.12263298034667969,100
470000,234.6369251734449,4.964598198335524,211.99037170806338,-0.0016140625,25.7538161277771,26.947460889816284,46,1277.9442403316498,223.10679290812996,1.0798721313476562,128.66100927946232,13.959007024765015,-1.8310548e-08,11.078621625900269,0.11302661895751953,100
480000,235.81346653951806,4.542904695347927,210.12541064620635,-0.0029920593,25.807292222976685,26.990224599838257,47,1304.9995257854462,222.78972846544286,1.0698151588439941,128.49369842292964,14.014906406402588,0.008277246,11.095593214035034,0.11244058609008789,100
490000,237.53355258194512,4.025035650934727,210.0063964830694,-0.002265979,25.823112726211548,26.970903873443604,48,1332.0322949886322,222.48242175636906,1.0261766910552979,128.35136138595627,13.98308253288269,6.1035155e-09,11.159782409667969,0.12090492248535156,100
500000,236.0465158252839,4.332308071991614,212.126474795003,-0.002395471,25.760847330093384,26.93973469734192,49,1359.0309331417084,223.24314289387067,1.0668079853057861,128.68800284061206,13.942259073257446,3.3569336e-08,11.103699207305908,0.11144280433654785,100
510000,238.27148338312978,4.6212336881325085,213.05031168319587,-0.003172859,25.92244243621826,27.10146689414978,50,1386.1939091682434,224.54100164468028,1.065312385559082,129.26196820382577,14.037961959838867,-8.392334e-09,11.198941707611084,0.11297321319580078,100
520000,241.8982681573708,5.814394773710042,209.12219660894092,-0.0016763489,25.749532222747803,26.9031240940094,51,1413.1589937210083,224.17894266438321,1.037534475326538,129.10644400985365,14.0059072971344,0.0043457304,11.047999382019043,0.11536335945129395,100
530000,242.3354566386206,15.063897462075523,91.75785620865234,-0.0023573486,25.79069757461548,27.01526403427124,52,1440.2328765392303,222.2380410536182,1.1171326637268066,128.06129349212867,13.953760147094727,0.00016354371,11.139856815338135,0.10641956329345703,100
540000,239.7274187979936,4.945047695263276,213.6747690239392,-0.003526059,25.991004467010498,27.15997290611267,53,1467.4565794467926,224.02295509237302,1.05601167678833,129.00905905354867,14.183322429656982,-9.155274e-09,11.103912353515625,0.11217451095581055,100
550000,246.68106516891152,19.715528927176205,77.88539251796158,-0.005883786,25.690391778945923,26.89575695991516,54,1494.4169383049011,222.43605940558479,1.0815396308898926,128.17085078722243,13.937233209609985,7.629395e-09,11.061040878295898,0.12299132347106934,100
560000,242.78121187867194,5.726131003403087,209.2427206090788,-0.0030966904,25.87427806854248,27.070975303649902,55,1521.5476186275482,226.53856227630703,1.0704386234283447,130.30040817066416,14.05850338935852,1.8310548e-08,11.116042137145996,0.12565135955810547,100
570000,244.3272940526913,8.271209443061831,170.32623021851813,-0.0025311944,25.77289843559265,26.973719835281372,56,1548.5829107761383,224.23511421983983,1.0741167068481445,129.10920781259077,14.009051322937012,-0.0017623429,11.070089101791382,0.12597227096557617,100
