Iteration	Time	TimestepsThisBatch	PoolSize	LastEpReturn	Episodes	MaxEpReturn	TimestepsSoFar
0	7.993574142456055	1000	2000	-376.21754084859737	5	-0.09741499500518591	2000
1	16.024413347244263	1000	3000	-12.124383927061652	7	-0.09741499500518591	3000
2	24.89186668395996	1000	4000	-61.30356533491192	10	-0.09741499500518591	4000
3	34.38483929634094	1000	5000	-96.53502312321845	14	11.798267329217829	5000
4	43.52711033821106	1000	6000	-205.04666039008214	15	11.798267329217829	6000
5	53.34174394607544	1000	7000	-76.02869311501652	17	11.798267329217829	7000
6	61.43881320953369	1000	8000	-30.44509820511667	20	12.80183966428038	8000
7	69.43437886238098	1000	9000	-29.91929190859577	23	12.80183966428038	9000
8	78.1837477684021	1000	10000	-30.11596176894121	27	12.80183966428038	10000
9	87.85004115104675	1000	11000	-21.981124478814213	28	12.80183966428038	11000
10	97.79735326766968	1000	12000	-24.751328326128895	31	12.80183966428038	12000
11	105.66513323783875	1000	13000	-19.295499196003135	36	12.80183966428038	13000
12	113.8084499835968	1000	14000	7.053647789696907	40	12.80183966428038	14000
13	122.4415442943573	1000	15000	-27.695677705486002	42	12.80183966428038	15000
14	131.75235247612	1000	16000	1.1237565391679982	46	12.80183966428038	16000
15	143.121253490448	1000	17000	-13.298811169449547	47	12.80183966428038	17000
16	154.2422742843628	1000	18000	-125.5252818329376	48	12.80183966428038	18000
17	163.20380473136902	1000	19000	-27.283673227518566	54	12.80183966428038	19000
18	171.17054843902588	1000	20000	-18.107607214053296	60	12.80183966428038	20000
19	179.4156789779663	1000	21000	-322.9976890169777	61	12.80183966428038	21000
20	188.44809460639954	1000	22000	-185.7573793927369	62	12.80183966428038	22000
21	198.50839233398438	1000	23000	-157.23662263584768	63	12.80183966428038	23000
22	209.62427282333374	1000	24000	85.21799572877723	64	85.21799572877723	24000
23	220.29210662841797	1000	25000	35.814296287505634	65	85.21799572877723	25000
24	227.9740116596222	1000	26000	23.40176075940512	71	85.21799572877723	26000
25	236.1046061515808	1000	27000	75.67606496422808	74	85.21799572877723	27000
26	244.41520380973816	1000	28000	36.79372907947853	75	85.21799572877723	28000
27	256.66057443618774	1000	29000	130.58867348669656	79	130.58867348669656	29000
28	265.21170592308044	1000	30000	47.018054834841365	81	133.97808112252466	30000
29	273.25424361228943	1000	31000	-14.94623844197542	84	133.97808112252466	31000
30	281.4659676551819	1000	32000	78.30022273004256	86	133.97808112252466	32000
31	290.6872751712799	1000	33000	75.5119265557978	88	141.2939221426878	33000
32	300.55166029930115	1000	34000	94.62294221347456	90	141.2939221426878	34000
33	311.97336769104004	1000	35000	90.99803354607413	92	324.91863491447344	35000
34	321.8710241317749	1000	36000	37.69731365202551	95	324.91863491447344	36000
35	329.9826624393463	1000	37000	87.45215059231346	98	324.91863491447344	37000
36	338.2329707145691	1000	38000	256.0999163423462	99	324.91863491447344	38000
37	347.0841178894043	1000	39000	27.72121799463868	101	324.91863491447344	39000
38	356.5315079689026	1000	40000	108.19742939667722	103	324.91863491447344	40000
39	367.65666604042053	1000	41000	298.7542268496812	104	324.91863491447344	41000
40	378.9555003643036	1000	42000	173.8726096714606	105	324.91863491447344	42000
41	390.0501616001129	1000	43000	53.42402413833602	107	396.1107816477129	43000
42	401.35324025154114	1000	44000	42.77730105288189	108	396.1107816477129	44000
43	412.4181430339813	1000	45000	247.2506908177335	109	396.1107816477129	45000
44	420.80379819869995	1000	46000	262.04209618468036	110	396.1107816477129	46000
45	428.62431931495667	1000	47000	60.83440715009216	112	396.1107816477129	47000
46	436.4555809497833	1000	48000	153.51045768155444	114	396.1107816477129	48000
47	445.3619213104248	1000	49000	462.1510557750157	115	462.1510557750157	49000
48	456.07846236228943	1000	50000	243.26855352692297	116	462.1510557750157	50000
49	467.1565086841583	1000	51000	145.1060512883213	118	474.823593705582	51000
50	475.1196265220642	1000	52000	388.4095040902166	119	474.823593705582	52000
51	483.62843108177185	1000	53000	103.83547743727422	120	474.823593705582	53000
52	491.9499886035919	1000	54000	377.50625328768155	121	474.823593705582	54000
53	501.38123393058777	1000	55000	141.7557515042235	125	474.823593705582	55000
54	512.2858798503876	1000	56000	31.266692904858562	127	474.823593705582	56000
55	523.5053234100342	1000	57000	148.82705510355905	129	474.823593705582	57000
56	534.814484834671	1000	58000	177.34416531283927	131	474.823593705582	58000
57	542.7072839736938	1000	59000	310.69417334074114	132	474.823593705582	59000
58	550.7380254268646	1000	60000	158.15095163499626	134	474.823593705582	60000
59	559.0680727958679	1000	61000	252.75349135304944	135	474.823593705582	61000
60	568.3811416625977	1000	62000	185.5957936671395	138	474.823593705582	62000
61	579.0261533260345	1000	63000	473.99978405279523	139	474.823593705582	63000
62	590.1483125686646	1000	64000	63.29896323930522	140	474.823593705582	64000
63	598.1415553092957	1000	65000	205.5503949694212	141	474.823593705582	65000
64	606.2104480266571	1000	66000	265.75127443265166	142	474.823593705582	66000
65	614.3976497650146	1000	67000	47.825831746430374	145	577.1221910557914	67000
66	622.7244164943695	1000	68000	314.31491478862796	148	577.1221910557914	68000
67	632.2731826305389	1000	69000	674.0595357765683	149	674.0595357765683	69000
68	641.8454284667969	1000	70000	30.08886759002109	150	674.0595357765683	70000
69	652.9019494056702	1000	71000	610.0960420060484	152	674.0595357765683	71000
