Iteration	TimestepsThisBatch	Time	PoolSize	TimestepsSoFar	Episodes	LastEpReturn	MaxEpReturn
0	1000	12.003707647323608	2000	2000	10	-28.934582154628067	-0.5105639266147829
1	1000	22.97035813331604	3000	3000	18	-47.72084856445409	-0.5105639266147829
2	1000	34.65082859992981	4000	4000	19	-291.26279002638677	-0.5105639266147829
3	1000	47.351011514663696	5000	5000	20	-157.26615026982955	-0.5105639266147829
4	1000	61.32250356674194	6000	6000	21	-123.94095824949382	-0.5105639266147829
5	1000	73.5968222618103	7000	7000	23	31.418525676339044	31.418525676339044
6	1000	86.34087562561035	8000	8000	29	-21.64864315033515	31.418525676339044
7	1000	100.79373288154602	9000	9000	31	3.4765527535045027	31.418525676339044
8	1000	114.35158181190491	10000	10000	34	-9.212589336312853	31.418525676339044
9	1000	127.08562970161438	11000	11000	38	-9.145956451844556	78.52191415703653
10	1000	142.01537251472473	12000	12000	39	27.46696798603829	78.52191415703653
11	1000	155.68475031852722	13000	13000	43	53.680762489155846	78.52191415703653
12	1000	169.0825228691101	14000	14000	44	146.89769023663612	146.89769023663612
13	1000	182.68302631378174	15000	15000	46	-3.9319808027804233	146.89769023663612
14	1000	194.88558745384216	16000	16000	52	54.770899631957455	146.89769023663612
15	1000	207.15650939941406	17000	17000	53	221.94747184324592	221.94747184324592
16	1000	221.22504115104675	18000	18000	55	53.57114694281258	250.92798146581072
17	1000	235.3110270500183	19000	19000	61	25.266900014377033	250.92798146581072
18	1000	248.85801815986633	20000	20000	62	53.111522077212776	250.92798146581072
19	1000	263.5250976085663	21000	21000	67	204.87968214254002	297.44168130746294
20	1000	277.49580907821655	22000	22000	68	66.22854628131714	297.44168130746294
21	1000	289.27802753448486	23000	23000	69	423.6017689863432	423.6017689863432
22	1000	301.20931029319763	24000	24000	73	78.51127523455003	423.6017689863432
23	1000	313.1263906955719	25000	25000	75	97.0938500144404	423.6017689863432
24	1000	324.56305480003357	26000	26000	76	375.5830760712454	423.6017689863432
25	1000	336.7539746761322	27000	27000	77	384.10162333738634	423.6017689863432
26	1000	348.25412034988403	28000	28000	79	19.905574717147143	423.6017689863432
27	1000	359.5913190841675	29000	29000	81	134.66768548527125	423.6017689863432
28	1000	371.04234170913696	30000	30000	82	260.9326254238805	423.6017689863432
29	1000	382.0682444572449	31000	31000	84	185.44010682346203	598.0900307916753
30	1000	393.7655370235443	32000	32000	85	431.813880305367	598.0900307916753
31	1000	405.0614893436432	33000	33000	88	102.97438519997813	598.0900307916753
32	1000	416.4821753501892	34000	34000	93	30.775266605426186	598.0900307916753
33	1000	428.2508008480072	35000	35000	95	105.07684733124135	735.1890535673923
34	1000	440.09161353111267	36000	36000	97	102.67695965122738	735.1890535673923
35	1000	451.61837911605835	37000	37000	100	394.23077438578	735.1890535673923
36	1000	463.6705822944641	38000	38000	102	464.6895857098206	735.1890535673923
37	1000	474.98150086402893	39000	39000	103	544.4896318033439	735.1890535673923
38	1000	485.81999945640564	40000	40000	104	254.38541953708176	735.1890535673923
39	1000	496.95922589302063	41000	41000	106	478.2657375818516	735.1890535673923
40	1000	508.3123116493225	42000	42000	107	52.40392504661261	735.1890535673923
